"vanus";"pikkus";"kaal";"sugu"
"749";0,116972563058036;62;5,8;"M"
"751";0,914749691212179;77,5;10,8;"N"
"752";0,795757209036912;73,5;10;"N"
"754";0,454356980155291;70;8,2;"N"
"755";0,328712163833414;67,5;7,5;"N"
"756";0,261263838014927;62,5;6,3;"N"
"758";0,185447954491491;54,1;4,7;"N"
"759";0,285775296544574;58;5,8;"N"
"760";0,231747635650126;59;5,6;"N"
"761";0,247342301740527;63;6,3;"N"
"762";0,420538328494704;63;6,3;"N"
"765";0,667099776735775;71;9,8;"M"
"766";0,391401472620099;65;6,3;"M"
"767";0,725305120361598;72;9,2;"M"
"768";0,214873658053733;60;6,4;"M"
"769";0,303099266080123;65;7,3;"M"
"770";0,343025109456397;65;7,7;"M"
"771";0,675360502504882;70;9,3;"M"
"772";0,777571913746647;75;10,2;"M"
"773";2,02004921750301;88;13,6;"M"
"774";1,19806988993382;78;11,7;"M"
"776";0,770264815833362;75,5;10;"M"
"777";0,684206737591477;73;10,3;"M"
"778";0,503479986512987;71;9;"M"
"779";0,426553981790459;69,5;8,5;"M"
"780";0,420730972165829;68;8,1;"M"
"782";0,327206869583626;57;6,6;"M"
"783";0,0943078148513407;55,9;5,2;"M"
"784";0,0778119499050357;51;4,7;"M"
"785";0,5810821653662;68,5;8,4;"N"
"786";0,475618021341871;68;8,6;"N"
"787";0,338572203699198;64;7,7;"N"
"788";0,277457037370369;60,5;6;"N"
"789";0,164357277365114;58;5,3;"N"
"790";0,68808566318506;70;9,4;"N"
"791";0,733576349979555;71;9,5;"N"
"792";0,79306370890959;72;10;"N"
"793";0,937043247403924;74;11,1;"N"
"794";1,47043055374958;79,5;12,5;"N"
"795";1,95181842655839;88;12,9;"N"
"796";0,591410672299487;67;8,3;"N"
"797";0,0710677117822516;52;4,3;"N"
"798";0,215376686047355;56;4,5;"N"
"799";0,310785282134555;62;6,7;"N"
"800";2,09014108513094;90;12,4;"N"
"801";1,73189855398686;86;12;"N"
"802";1,52932660479733;83,5;10,9;"N"
"803";0,447028078367644;65,5;7,6;"N"
"804";0,972644853514422;75;9,5;"N"
"805";0,729141675502398;73;9,2;"N"
"806";0,713110951884444;70,5;8,7;"N"
"807";1,26079685048384;81;10,4;"N"
"809";1,31532002358206;82;11,7;"M"
"810";1,01959514250970;76,5;10,7;"M"
"811";0,551338666485665;72;7,9;"M"
"812";0,511081139964042;71;8,7;"M"
"813";0,384385265847398;67;7,3;"M"
"814";0,130684089754093;62,9;6,1;"M"
"815";0,135432961411814;55;4,4;"M"
"816";0,969619430231135;76;11,9;"M"
